"시도명","시군구명","운영방식","업체명","지원기준"
"경기","경기남부(21개 시/군)","도 위탁사업","경기도재활공학서비스연구지원센터","○ 수급권자 : 12만원 / ○ 차상위 : 12만원 / ○ 건강보험 : 10만원"
"경기","경기북부(10개 시/군)","도 위탁사업","경기도보조기기북부센터","○ 수급권자 : 12만원 / ○ 차상위 : 12만원 / ○ 건강보험 : 10만원"
"경기","가평군","위탁","경기도지체장애인협회 가평군지회","○ 수급권자 : 20만원 / ○ 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","장애인권익지원협회 고양시지부","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","나우의료기","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","땡큐시니어 건강의료기","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","장애인복지협회의료기","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","지성메디칼","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","고양시","위탁","(주)닛신","○ 수급자, 차상위 : 25만원 / ○ 건강보험 : 10만원"
"경기","과천시","위탁","경기도지체장애인협회 과천시지회","○ 수급자, 차상위 : 50만원 / ○ 건강보험 : 30만원"
"경기","과천시","위탁","울림터 과천시장애인자립생활센터","○ 수급자, 차상위 : 50만원 / ○ 건강보험 : 30만원"
"경기","광명시","위탁","광명시장애인이동보조기기수리센터","○ 수급자 : 20만원 / ○ 차상위 : 10만원"
"경기","광주시","위탁","국보의료기","○ 수급자, 차상위 : 20만원"
"경기","광주시","위탁","번창보조기기센터","○ 수급자, 차상위 : 20만원"
"경기","구리시","위탁","경기도지체장애인협회 구리시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","군포시","위탁","경기도지체장애인협회 군포시지회","○ 수급자, 차상위, 건강보험 : 소모성 부품 무료(10만원 이상 자부담 발생)"
"경기","김포시","위탁","경기도지체장애인협회 김포시지회","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 20만원"
"경기","남양주시","위탁","경기도지체장애인협회 남양주시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","동두천시","위탁","경기도지체장애인협회 동두천시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","동두천시","위탁","한국교통장애인협회 동두천시지회","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원"
"경기","부천시","위탁","부천장애인보장구클리너센터","○ 수급자, 차상위 / - 전동휠체어, 전동 스쿠터 : 20만원 / - 수동휠체어 : 10만원"
"경기","부천시","위탁","실버케어114","○ 수급자, 차상위 / - 전동휠체어, 전동 스쿠터 : 20만원 / - 수동휠체어 : 10만원"
"경기","부천시","위탁","케어114","○ 수급자, 차상위 / - 전동휠체어, 전동 스쿠터 : 20만원 / - 수동휠체어 : 10만원"
"경기","성남시","위탁","성남시복지용구공유센터","○ 수급자, 차상위 : 30만원 / ○ 건강보험 : 15만원(자부담 50%)"
"경기","수원시","위탁","대길케어","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","부르미","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","수원시보장구수리센터","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
"경기","수원시","위탁","에이원케어메디칼","○ 수급자, 차상위 : 20만원 / ○ 건강보험 : 10만원(중위소득100%이하)"
